"date","m0","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25","m26","m27","m28","m29","m30","m31","m32","m33","m34","m35","m36","m37","m38","m39","m40","m41","m42","m43","m44","m45","m46","m47","m48","m49","m50"
2015-01-02 09:00:00,5.51,5.5,5.5,5.5,5.5,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51235294117647,5.52,5.52,5.52,5.52,5.51268292682927,5.51,5.52,5.51297872340426,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.52,5.52
2015-01-21 14:00:00,4.71,4.65767441860465,4.59709677419355,4.53823529411765,4.52,4.51,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.51,4.5,4.5,4.5,4.49,4.49,4.48,4.48166666666667,4.48,4.48,4.48676470588235,4.48,4.48,4.49,4.49,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.47605263157895,4.48,4.48,4.48,4.48,4.48,4.48,4.48913043478261,4.48,4.482
2015-01-30 08:00:00,3.44,3.46244444444444,3.48,3.47253731343284,3.48025641025641,3.50677419354839,3.52,3.52577777777778,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.54,3.5525,3.56,3.56285714285714,3.56035087719298,3.55907407407407,3.56108695652174,3.57,3.57,3.57,3.57,3.57,3.55145833333333,3.55,3.56,3.56,3.56981132075472,3.56058823529412,3.57,3.57,3.58,3.58,3.59,3.59,3.58,3.581,3.59,3.59,3.59,3.59115384615385,3.59961538461538,3.59,3.5815,3.59,3.59,3.59
2015-02-04 08:00:00,2.03,2.45871794871795,3.04121212121212,3.14466666666667,3.17137931034483,3.18,3.18,3.18,3.18,3.18227272727273,3.18,3.18916666666667,3.18,3.19,3.19,3.19,3.19685714285714,3.19,3.2,3.2,3.2,3.2,3.2,3.20966666666667,3.2,3.2,3.2,3.21,3.2,3.2,3.20869565217391,3.2,3.2,3.20121212121212,3.20379310344828,3.2076,3.20357142857143,3.2,3.20674418604651,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21
2015-02-25 13:00:00,2.71,2.69647058823529,2.66066666666667,2.6445652173913,2.65241379310345,2.65131578947368,2.64,2.64,2.65,2.65,2.64863636363636,2.64,2.64,2.64,2.66,2.66,2.66137254901961,2.66234042553191,2.6730612244898,2.67285714285714,2.68,2.68468085106383,2.69,2.68224489795918,2.68,2.68,2.68796875,2.68063829787234,2.69,2.69387755102041,2.71,2.71,2.71,2.7012,2.70096153846154,2.7,2.7,2.67869565217391,2.68318181818182,2.7,2.7056,2.7,2.7,2.701,2.71,2.71,2.71,2.7327027027027,2.75,2.73589743589744,2.72
2015-03-04 09:00:00,2.61,2.61,2.6,2.6,2.6,2.59166666666667,2.59864864864865,2.59,2.59434782608696,2.59,2.59,2.59,2.58879310344828,2.58421052631579,2.58730769230769,2.58,2.58,2.58,2.58018867924528,2.58127272727273,2.58,2.59,2.6,2.6,2.61,2.62,2.61148148148148,2.60045454545455,2.6,2.59196078431373,2.5837037037037,2.58,2.59872727272727,2.6,2.60795918367347,2.59142857142857,2.6,2.6,2.6,2.6,2.61068181818182,2.61375,2.65382978723404,2.62,2.62551020408163,2.62869565217391,2.62,2.62333333333333,2.63666666666667,2.67,2.67
2015-03-13 09:00:00,2.79,2.735625,2.63,2.63,2.82756756756757,2.92692307692308,2.94,2.94,2.95,2.95,2.95,2.95977272727273,2.956875,2.9565625,2.96,2.96,2.96,2.96,2.96,2.96,2.96978260869565,2.96,2.96461538461538,2.96549019607843,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97878048780488,2.97734693877551,2.98,2.98,2.98,2.9895,2.98384615384615,2.98973684210526,2.99,2.98065217391304,2.99,2.99,2.99,2.99,2.99,2.99842105263158,3,3,3,3
2015-03-18 14:00:00,3.15,3.1625,3.07239130434783,3.014,3.00444444444444,2.98,2.97,2.97,2.97,2.97,2.98,2.98828571428571,2.98,2.99,2.99,2.99,3,3,3,3,3,3.01,3.02153846153846,3.03,3.04,3.04,3.0556,3.06,3.06,3.06,3.06,3.06,3.06,3.06727272727273,3.065,3.06,3.07,3.07,3.07152173913043,3.08,3.08,3.08,3.08,3.08378378378378,3.08638888888889,3.09,3.09,3.09,3.09,3.09,3.09
2015-03-25 13:00:00,3.36,3.38979591836735,3.307,3.2677358490566,3.25,3.26586956521739,3.28545454545455,3.28895833333333,3.28672727272727,3.19,3.19514285714286,3.18,3.19,3.21055555555556,3.15925,3.149375,3.14463414634146,3.16857142857143,3.18933333333333,3.16414634146341,3.14434782608696,3.14,3.14,3.14729166666667,3.17510204081633,3.19,3.19,3.19975,3.22,3.22,3.23,3.23,3.24388888888889,3.26,3.26,3.26,3.26,3.26,3.27,3.27,3.27,3.27,3.27,3.27,3.2754,3.28,3.27,3.28,3.28,3.28,3.28
2015-04-01 13:00:00,3.6,3.59214285714286,3.55,3.55,3.54,3.54,3.54,3.5,3.49,3.49,3.5,3.5,3.49,3.48,3.48,3.49,3.48,3.48,3.47,3.46,3.46,3.46,3.46,3.46,3.47,3.47,3.47,3.47,3.47,3.47,3.46,3.46,3.46,3.46,3.46,3.451,3.46,3.46,3.46,3.45045454545455,3.46,3.47,3.46,3.47,3.47,3.46071428571429,3.47,3.47,3.46,3.47,3.47
